,Technology,Test_type,Data Speed(Mbps),Signal_strength
5365,3G,Upload,1.17,-67
5366,3G,Upload,1.08,-67
5367,3G,Upload,1.21,-73
5368,3G,Upload,1.22,-77
5369,3G,Upload,0.88,-71
5446,3G,Download,1.88,-77
5447,3G,Upload,1.36,-99
5479,3G,Download,0.12,-95
5494,3G,Upload,1.16,-95
5761,3G,Download,0.04,-71
5762,3G,Download,0.0,-71
5763,3G,Download,0.13,-65
5764,3G,Download,0.2,-95
5766,3G,Download,0.53,-81
5787,3G,Download,0.0,-67
5794,3G,Download,0.12,-87
5804,3G,Upload,1.22,-71
5805,3G,Upload,0.31,-73
5806,3G,Upload,0.6,-63
5807,3G,Upload,0.14,-119
5809,3G,Upload,1.37,-81
5830,3G,Upload,1.97,-67
5837,3G,Upload,0.71,-85
5950,3G,Download,1.14,-55
5951,3G,Download,0.72,na
5955,3G,Download,0.9,na
5957,3G,Download,1.94,na
5958,3G,Download,0.53,-59
5962,3G,Download,0.0,-75
5965,3G,Download,0.45,-59
5967,3G,Download,3.29,na
5971,3G,Download,0.33,-59
5975,3G,Download,0.56,-77
5983,3G,Download,0.45,-67
5986,3G,Download,3.41,-55
5987,3G,Download,0.56,-91
5991,3G,Download,0.36,-95
5992,3G,Download,1.12,-67
5998,3G,Upload,0.32,-55
5999,3G,Upload,0.25,na
6003,3G,Upload,0.06,na
6005,3G,Upload,0.2,na
6006,3G,Upload,0.06,-57
6010,3G,Upload,0.28,-69
6013,3G,Upload,0.06,-59
6015,3G,Upload,2.62,na
6019,3G,Upload,0.17,-59
6023,3G,Upload,0.07,-79
6031,3G,Upload,0.26,-73
6034,3G,Upload,1.0,-65
6035,3G,Upload,0.06,-91
6039,3G,Upload,0.17,-95
6040,3G,Upload,0.53,-57
6050,3G,Download,0.48,-111
6052,3G,Download,0.31,-97
6055,3G,Download,0.51,-83
6062,3G,Upload,0.38,-111
6064,3G,Upload,0.58,-97
6067,3G,Upload,0.92,-83
6076,3G,Download,0.14,-85
6077,3G,Upload,0.34,-83
6131,3G,Download,2.43,-107
6141,3G,Upload,0.27,-109
6188,3G,Download,0.2,-95
6198,3G,Upload,0.51,-99
6228,3G,Download,10.72,-83
6231,3G,Download,0.1,-71
6232,3G,Download,1.67,-87
6234,3G,Upload,4.44,-79
6237,3G,Upload,1.71,-75
6238,3G,Upload,1.48,-101
6327,3G,Upload,1.82,-67
6328,3G,Upload,0.96,-85
6352,3G,Download,0.54,-61
6353,3G,Upload,1.21,-61
